The Commons Dining Hall (South Campus), 30.6155, -96.3361, Buffet, meat_mixed
Sbisa Dining Hall (North Campus), 30.6171, -96.3438, Buffet, meat_mixed
Duncan Dining Hall (South Campus/Quad), 30.6121, -96.3355, Buffet, meat_mixed
1876 Burgers (Sbisa Complex), 30.6171, -96.3441, American, meat_beef
Aggie Express (Hullabaloo), 30.6166, -96.3464, Convenience Store, meat_mixed
Chick-Fil-A (Sbisa Underground Food Court), 30.6171, -96.3438, American Fast Food, meat_chicken
Copperhead Jack's (Sbisa Complex), 30.6171, -96.3439, Southwestern, vegan
Einstein Bros. Bagels (Sbisa Complex), 30.6172, -96.3442, Breakfast, vegetarian
Houston Street Subs (Underground Food Court), 30.6171, -96.3438, Deli, vegan
Bagel Block (North Campus), 30.6195, -96.3421, Coffee Shop, vegetarian
Pizza @ Underground (North Campus), 30.6171, -96.3438, Italian, vegetarian
Starbucks Coffee (Hullabaloo), 30.6163, -96.3460, Coffee Shop, vegetarian
Smoothie King (Sbisa Underground Food Court), 30.6171, -96.3438, Smoothies, vegan
Abu Omar Halal (MSC), 30.6122, -96.3413, Mediterranean, meat_chicken
Aggie Express (Pavilion), 30.6166, -96.3382, Convenience Store, meat_mixed
Cabo Grill (MSC), 30.6122, -96.3413, Tex-Mex, vegan
Chick-Fil-A (MSC Food Court), 30.6122, -96.3413, American Fast Food, meat_chicken
Houston Street Subs (MSC), 30.6122, -96.3413, Deli, vegan
Market at Lamar St. (Central Campus), 30.6123, -96.3441, Convenience Store, meat_mixed
Moore Family Creamery (Central Campus), 30.6105, -96.3373, Dessert, vegetarian
Panda Express (MSC), 30.6122, -96.3413, Asian Fast Food, meat_chicken
Rev's American Grill (MSC), 30.6122, -96.3413, American, meat_beef
Starbucks Coffee (Evans Library), 30.6172, -96.3391, Coffee Shop, vegetarian
Shake Smart (MSC), 30.6122, -96.3413, Smoothies, vegetarian
Spin 'N Stone Pizza (MSC), 30.6122, -96.3413, Pizza, meat_mixed
The University Club (Central Campus), 30.6131, -96.3399, Buffet, meat_mixed
Whoop Coop (Central Campus), 30.6168, -96.3381, American, meat_chicken
Aggie Express (Commons), 30.6152, -96.3359, Convenience Store, meat_mixed
Starbucks Coffee (The Quad), 30.6136, -96.3375, Coffee Shop, vegetarian
Houston Street Subs (Southside), 30.6150, -96.3359, Deli, vegan
Azimuth Cafe (Langford), 30.6190, -96.3376, Cafe, vegetarian
Houston Street Subs (Polo Garage), 30.6225, -96.3380, Deli, vegan
Market at Polo Garage (East Campus), 30.6233, -96.3378, Convenience Store, meat_mixed
Panda Express (Polo Garage), 30.6224, -96.3378, Asian Fast Food, meat_chicken
Salata (East Campus), 30.6232, -96.3376, Healthy, vegan
Shake Smart (Polo Garage), 30.6227, -96.3382, Smoothies, vegetarian
Starbucks Coffee (Zachry), 30.6210, -96.3406, Coffee Shop, vegetarian
Reynolds and Reynolds Cafe (West Campus), 30.6113, -96.3497, Cafe, vegetarian
Chick-fil-A (West Campus Food Hall), 30.6102, -96.3486, American Fast Food, meat_chicken
Copperhead Jack's (West Campus Food Hall), 30.6102, -96.3485, Southwestern, vegan
Creekside Market (West Campus), 30.6078, -96.3538, Convenience Store, meat_mixed
The Kitchen (Creekside Market), 30.6078, -96.3538, American, meat_mixed
Spin n' Stone Pizza (Creekside Market), 30.6076, -96.3539, Pizza, meat_mixed
Spin 'n Stone Pasta (Creekside Market), 30.6078, -96.3538, Italian, vegetarian
Health Science Center Cafe (West Campus), 30.5984, -96.3950, Cafe, meat_mixed
Houston Street Deli (RELLIS), 30.6413, -96.4668, Deli, vegan
Wild Blue Sushi (Creekside Market), 30.6078, -96.3538, Asian, meat_fish
Houston Street Subs (West Campus Food Hall), 30.6102, -96.3486, Deli, vegan
Market (Ag Cafe), 30.6108, -96.3490, Convenience Store, meat_mixed
Shake Smart (West Campus Food Hall), 30.6102, -96.3487, Smoothies, vegetarian
Starbucks (Ag Cafe), 30.6108, -96.3490, Coffee Shop, vegetarian
Shake Smart (Rec Center), 30.6070, -96.3429, Smoothies, vegetarian
The 41st Club (Bush Library), 30.5976, -96.3524, Convenience Store, meat_mixed
Vet Med Cafe (West Campus), 30.6117, -96.3573, Cafe, meat_mixed
Market Express (Business Library), 30.6114, -96.3501, Convenience Store, meat_mixed
